Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2002","2002","kcal/cap/d","42","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2003","2003","kcal/cap/d","40","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2004","2004","kcal/cap/d","47","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2005","2005","kcal/cap/d","41","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2006","2006","kcal/cap/d","27","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2007","2007","kcal/cap/d","28","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2008","2008","kcal/cap/d","41","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2009","2009","kcal/cap/d","44","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2010","2010","kcal/cap/d","43","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2011","2011","kcal/cap/d","42","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2012","2012","kcal/cap/d","30","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2013","2013","kcal/cap/d","37","E","Estimated value",""
